解析到 181 手
加载表: full
  手 方  招         前值    走后    最佳    判定        羊  备注
120 羊  C2→B2     和棋         和棋    和棋    完美        7  着:胜0/和14/败1
121 狼  E4→E5     和棋         和棋    和棋    完美        7  吃:安全0/毒0
122 羊  C3→C2     和棋         和棋    和棋    完美        7  着:胜0/和18/败0
123 狼  E5→E4     和棋         和棋    和棋    完美        7  吃:安全0/毒0
124 羊  C5→C4     和棋         和棋    和棋    完美        7  着:胜0/和16/败1
125 狼  D5→C5     和棋         和棋    和棋    完美        7  吃:安全0/毒0
126 羊  D3→D2     和棋         和棋    和棋    完美        7  着:胜0/和15/败0
127 狼  E3→D3     和棋         和棋    和棋    完美        7  吃:安全0/毒0
128 羊  E2→E3     和棋         和棋    和棋    完美        7  着:胜0/和12/败1
129 狼  E4→E5     和棋         和棋    和棋    完美        7  吃:安全0/毒0
130 羊  D4→E4     和棋         和棋    和棋    完美        7  着:胜0/和15/败0
131 狼  D3→C3     和棋         和棋    和棋    完美        7  吃:安全0/毒0
132 羊  E3→D3     和棋         和棋    和棋    完美        7  着:胜0/和14/败0
133 狼  C5→D5     和棋         和棋    和棋    完美        7  吃:安全0/毒0
134 羊  D3→D4     和棋         和棋    和棋    完美        7  着:胜0/和15/败0
135 狼  D5→C5     和棋         和棋    和棋    完美        7  吃:安全0/毒0
136 羊  D2→D3     和棋         和棋    和棋    完美        7  着:胜0/和13/败0
137 狼  C5→B5     和棋         和棋    和棋    完美        7  吃:安全0/毒0
138 羊  B2→B3     和棋         和棋    和棋    完美        7  着:胜0/和12/败0
139 狼  B5→A5     和棋         和棋    和棋    完美        7  吃:安全0/毒0
140 羊  D4→D5     和棋         和棋    和棋    完美        7  着:胜0/和12/败0
141 狼  A5→B5     和棋         和棋    和棋    完美        7  吃:安全0/毒0
142 羊  D5→D4     和棋         和棋    和棋    完美        7  着:胜0/和15/败0
143 狼  B5→A5     和棋         和棋    和棋    完美        7  吃:安全0/毒0
144 羊  B4→A4     和棋         和棋    和棋    完美        7  着:胜0/和12/败0
145 狼  A5→B5     和棋         和棋    和棋    完美        7  吃:安全0/毒0
146 羊  C4→B4     和棋         和棋    和棋    完美        7  着:胜0/和11/败4
147 狼  B5→A5     和棋         和棋    和棋    完美        7  吃:安全0/毒0
148 羊  C2→D2     和棋         和棋    和棋    完美        7  着:胜0/和13/败0
149 狼  A5→B5     和棋         和棋    和棋    完美        7  吃:安全0/毒0
150 羊  D4→C4     和棋         和棋    和棋    完美        7  着:胜0/和12/败0
151 狼  E5→D5     和棋         和棋    和棋    完美        7  吃:安全0/毒0
152 羊  D3→D4     和棋         和棋    和棋    完美        7  着:胜0/和11/败3
153 狼  C3→D3     和棋         和棋    和棋    完美        7  吃:安全0/毒0
154 羊  B3→C3     和棋         和棋    和棋    完美        7  着:胜0/和12/败0
155 狼  D3→E3     和棋         和棋    和棋    完美        7  吃:安全0/毒0
